,MTSClean,MTSCleanSoft,LocalSpeedClean,GlobalSpeedClean,LocalSpeedAccelClean,GlobalSpeedAccelClean,EWMAClean,MedianFilterClean,KalmanFilterClean,IMRClean
0.2,0.966942149,0.966942149,0.317999107,0.660762943,0.454545455,0.673063742,0.222271616,0.222222222,0.222271616,0.581497797
0.4,0.963269529,0.963269529,0.358099352,0.668061367,0.47539267,0.679509632,0.222444444,0.222419731,0.222444444,0.512683578
0.6,0.970174837,0.970174837,0.297059632,0.662046662,0.477388643,0.67270195,0.22237037,0.2223539,0.22237037,0.508443353
0.8,0.957064793,0.957064793,0.314889336,0.653962901,0.466529351,0.665192242,0.22253083,0.222518469,0.22253083,0.550730777
1,0.972296327,0.972296327,0.316599732,0.671444322,0.477814297,0.682095344,0.222390116,0.222380233,0.222390116,0.569241239
