,MTSClean,MTSCleanSoft,LocalSpeedClean,GlobalSpeedClean,LocalSpeedAccelClean,GlobalSpeedAccelClean,EWMAClean,MedianFilterClean,KalmanFilterClean,IMRClean
0.1,0.00037098143982962665,0.0038388652925861917,0.00718300919331199,0.002696014434874659,0.00786216041851457,0.002407321140219066,0.006426222451284298,0.007853447888721525,0.007268939378585181,0.0036940619256641575
0.2,0.0006832416847904418,0.007520995654868691,0.01449584908931798,0.007602626085077537,0.015855134503679164,0.0068163719780759465,0.01306752981146651,0.015976065677163396,0.014719175171170766,0.009315029880034418
0.3,0.0009426923714928679,0.010630247792808382,0.021738990960635106,0.01202913833520772,0.023686887027912197,0.010539181901649172,0.01960656071192777,0.02387168911223046,0.022019690541925267,0.011286728797612014
0.4,0.0012475076174318267,0.015470921385349392,0.028775445523151515,0.013846941268268704,0.03151572839669581,0.011801069148034178,0.025887995670495587,0.03171508952464751,0.02917603191228473,0.017229715844475146
0.5,0.001675302315247677,0.01844579788804535,0.03596745265858025,0.017058087818815168,0.03942314091247247,0.015068713558211815,0.032316540238080275,0.039688791952204476,0.036476279598027336,0.020120514280284326
