sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
49.34895706,51.95312119,44.31423569,46.875,36.45833,84.89583
49.34895706,51.95312119,44.31423569,46.875,36.45833,84.89583
49.34895706,51.95312,44.31424,46.875,36.45833,84.89583
49.34896,52.03993,44.27083,45.57291,36.71875,80.72916
49.26215,52.03992844,44.27083,45.3125,36.97916,79.16666
49.43576,52.03993,44.22743,44.79166,36.97916,77.34375
49.4357605,52.08333,44.22742844,46.875,37.5,76.82291
49.4357605,52.08333,44.22742844,49.47916,38.02083,76.82291
49.4357605,52.03993,44.22742844,51.04166,38.80208,75.52083
49.43576,52.03993,44.22743,52.34375,38.80208,73.4375
49.34896,52.08333,44.14063,53.64583,39.0625,71.35416
49.43576,52.03993,44.14063,54.94791,39.32291,69.53125
49.4357605,52.08333,44.09722137,55.98958,39.32291,68.75
49.4357605,52.08333,44.05382,54.6875,39.32291,68.75
49.4357605,52.12674,44.05381775,53.90625,39.0625,69.27083
49.4357605,52.08333,44.05381775,54.94791,39.0625,70.57291
49.4357605,52.08333206,44.05381775,56.51041,39.0625,70.83333
49.43576,52.08333206,44.05382,56.51041,39.0625,70.83333
49.26215,52.08333,44.09722,57.55208,38.28125,71.35416
49.47916,52.03993,44.09722,58.33333,38.02083,72.13541
49.47916412,52.03993,44.14063,58.85416,37.76041,72.91666
49.47916412,52.08333,44.22743,58.59375,37.5,72.13541
49.47916412,52.03993,44.22743,56.41926699999999,36.45833,71.35416
49.47916412,52.08333206,44.27083,55.20833,36.19791,70.3125
49.47916412,52.12674,44.27083206,56.25,36.19791,70.57291
49.47916412,52.08333,44.27083206,57.55208,36.45833,70.3125
49.47916412,52.08333,44.27083206,55.81575134999999,36.45833,69.01041
49.47916412,52.12674,44.27083206,55.3513309175,36.45833,67.70833
49.47916412,52.08333,44.27083206,54.902751963375,36.19791,67.44791
49.47916,52.17014,44.27083206,55.72916,35.67708,66.14583
49.52257,52.12674,44.27083206,53.910910561543744,35.15625,65.10416
49.52256775,52.12673569,44.27083,52.08333,34.375,65.10416
49.52256775,52.12673569,44.22743,52.08333,34.375,68.75
49.52256775,52.12673569,44.22743,52.34375,34.89583,74.47916
49.52256775,52.12673569,44.14063,51.82291,34.89583,83.9583285
49.52256775,52.12674,44.14063,51.30208,35.15625,85.604161425
49.52256775,52.17014,44.09722,51.04166,35.67708,86.66822449625002
49.52257,52.12674,44.09722,50.78125,36.19791,87.27767672106249
49.56597,52.12674,44.14063,49.73958,36.19791,87.6832255571156
49.56597137,52.17014,44.14063,48.69791,36.19791,88.10905633497138
49.56597137,52.17014,44.22743,48.17708,36.45833,88.75148915171997
49.56597137,52.25694,44.22743,48.17708,36.45833,89.49114760930597
49.56597137,52.17014,44.27083206,49.47916,36.71875,90.15060098977128
49.56597137,52.17014,44.31424,51.04166,36.97916,90.40031903925984
49.56597,52.25694,44.31423569,51.82291,37.76041,90.19377249122284
49.65277,52.25694,44.31423569,51.30208,38.02083,89.359712190784
49.65277481,52.30035,44.31423569,50.52083,37.76041,88.41467622907318
49.65277481,52.17014,44.31424,49.47916,37.76041,94.27083
49.65277481,52.1701355,44.27083,48.69791,38.02083,93.75
49.65277481,52.17014,44.27083,48.17708,38.02083,92.70833
49.65277481,52.25694,44.31424,46.875,37.76041,89.84375
49.65277481,52.25694,44.31423569,45.83333,37.76041,86.19791
49.65277,52.30035,44.31423569,45.57291,38.28125,83.85416
49.69618,52.17014,44.31423569,45.83333,39.0625,83.07291
49.69617844,52.25694,44.31424,45.57291,38.80208,80.46875
49.69617844,52.25694275,44.35764,45.3125,38.02083,78.64583
49.69617844,52.25694275,44.3576355,45.3125,37.5,80.98958
