,Observed,True,MTSClean,MTSCleanSoft,GlobalSpeedAccelClean,MedianFilterClean,IMRClean
4577,24.94842473494475,24.94842473494475,24.94842473494475,24.94842473494475,24.94842473494475,24.94842473494475,24.94842473494475
4578,24.95639203620474,24.95639203620474,24.95639203620474,24.95639203620474,24.95639203620474,24.95639203620474,24.95639203620474
4579,24.964359337464682,24.964359337464682,24.964359337464682,24.964359337464682,24.964359337464682,24.964359337464682,24.964359337464682
4580,24.972326638724624,24.972326638724624,24.972326638724624,24.972326638724624,27.095440652672828,24.972326638724624,24.972326638724624
4581,24.980293939984566,24.980293939984566,24.980293939984566,24.980293939984566,27.30290917748191,24.980293939984566,24.980293939984566
4582,24.988324979654607,24.988324979654607,24.988324979654607,24.988324979654607,27.510377702290995,24.988324979654607,24.988324979654607
4583,24.99622854250445,24.99622854250445,24.99622854250445,24.99622854250445,27.71784622710008,24.99622854250445,24.99622854250445
4584,25.00419584376444,25.00419584376444,25.00419584376444,25.00419584376444,27.925314751909163,25.00419584376444,25.00419584376444
4585,25.01216314502438,25.01216314502438,25.01216314502438,25.01216314502438,28.132783276718246,25.010633423182437,25.01216314502438
4586,25.010633423182437,25.010633423182437,25.010633423182437,25.010633423182437,28.34025180152733,25.01216314502438,25.010633423182437
4587,30.0,24.85989208334422,25.21810194799152,27.74837190758093,28.547720326336414,30.0,30.0
4588,30.0,24.88175435800153,25.28805623023223,27.522568303569642,28.755188851145498,30.0,30.0
4589,30.0,24.91081907299781,25.294940005977757,27.498206025198588,28.96265737595458,30.0,30.0
4590,30.0,24.939947526404193,25.30495185489358,27.593944289282067,29.170125900763665,30.0,30.0
4591,30.0,24.969012241400474,25.314971643081407,27.5358439988706,29.37759442557275,30.0,30.0
4592,30.0,24.998140694806857,25.324991431269233,27.598577046302207,29.585062950381833,30.0,30.0
4593,30.0,24.988898625345325,25.33501121945706,27.209185742332487,29.792531475190916,30.0,24.988898625345325
4594,30.0,24.870472659417437,25.345031007644927,27.6334090879328,30.0,30.0,24.870472659417437
4595,30.0,24.970414486422218,25.355050795832753,27.819986370281562,30.0,30.0,24.970414486422218
4596,30.0,24.91081907299781,25.36507058402058,27.8020882327203,30.0,30.0,24.91081907299781
4597,30.0,24.977170757890672,25.375082432936402,27.819845717970622,30.0,30.0,24.977170757890672
4598,30.0,24.873532103101233,25.36424575356498,27.76498666284831,30.0,30.0,24.873532103101233
4599,30.0,25.02172390653632,25.374980076233335,27.4098401470829,30.0,30.0,25.02172390653632
4600,30.0,25.02542073432093,25.385770865716168,27.817408111033306,30.0,30.0,25.02542073432093
4601,30.0,25.029117562105544,25.39650518838451,27.502745423768427,30.0,30.0,25.029117562105544
4602,30.0,25.032814389890156,25.262176264697487,27.757701062291453,30.0,30.0,25.032814389890156
4603,30.0,25.036511217674768,25.276806797563772,27.595718155219647,30.0,30.0,25.036511217674768
4604,30.0,25.04020804545938,25.286896958753175,30.0,30.0,30.0,25.04020804545938
4605,30.0,25.043904873243996,25.286792202776702,27.49032056134126,30.0,30.0,25.043904873243996
4606,30.0,25.047601701028608,25.311981967410745,27.573862085329925,30.0,30.0,25.047601701028608
4607,30.0,25.05129852881322,25.32590590506851,27.76073335446199,29.8648900990389,30.0,25.05129852881322
4608,30.0,25.054995356597875,25.338044398435414,27.514997396042777,29.537912055330597,30.0,25.054995356597875
4609,30.0,25.05869218438249,25.350118485715832,27.69236110901505,29.210934011622296,30.0,25.05869218438249
4610,30.0,25.062389012167102,25.36220051226826,27.553674800923194,28.883955967913995,30.0,25.062389012167102
4611,29.439103912058382,25.066085839951715,25.37427459954872,27.424747192373044,28.556977924205693,29.439103912058382,25.066085839951715
4612,28.818083872399185,25.069782667736327,25.386348686829134,27.031169113334467,28.22999988049739,28.818083872399185,25.069782667736327
4613,28.197063832739985,25.07347949552094,25.398430713381565,26.839997954685064,27.90302183678909,28.197063832739985,25.07347949552094
4614,27.57604379308079,25.07717632330555,25.41050480066202,26.557653460259747,27.57604379308079,27.57604379308079,25.07717632330555
4615,26.955023753421592,25.080873151090163,25.4127616014979,26.955023753421592,27.249065749372487,26.955023753421592,25.080873151090163
4616,26.334003713762392,25.084569978874775,25.413372925442346,26.334003713762392,26.922087705664186,26.334003713762392,24.30204199368626
4617,25.712983674103196,25.088266806659387,25.4139921886588,25.712983674103196,26.595109661955885,25.712983674103196,23.75434770671671
4618,25.091963634444,25.091963634444,25.091963634444,25.091963634444,26.268131618247583,25.09935729001327,23.18813528965445
4619,25.095660462228658,25.095660462228658,25.095660462228658,25.095660462228658,25.941153574539282,25.09935729001327,23.23472884085798
4620,25.09935729001327,25.09935729001327,25.09935729001327,25.09935729001327,25.09935729001327,25.09935729001327,23.284560512483623
4621,25.103054117797882,25.103054117797882,25.103054117797882,25.103054117797882,25.103054117797882,25.103054117797882,23.33267252388835
4622,25.106750945582494,25.106750945582494,25.106750945582494,25.106750945582494,25.106750945582494,25.106750945582494,23.379560824900587
4623,25.110447773367106,25.110447773367106,25.110447773367106,25.110447773367106,25.110447773367106,25.110447773367106,23.42563534311735
4624,25.114144601151718,25.114144601151718,25.114144601151718,25.114144601151718,25.114144601151718,25.114144601151718,23.470689997566318
4625,25.117841428936334,25.117841428936334,25.117841428936334,25.117841428936334,25.117841428936334,25.117841428936334,25.117841428936334
4626,25.121538256720946,25.121538256720946,25.121538256720946,25.121538256720946,25.121538256720946,25.121538256720946,25.121538256720946
4627,25.125235084505558,25.125235084505558,25.125235084505558,25.125235084505558,25.125235084505558,25.125235084505558,24.920479933501436
4628,25.12893191229017,25.12893191229017,25.12893191229017,25.12893191229017,25.12893191229017,25.12893191229017,24.9691136753633
