,Observed,True,MTSClean,MTSCleanSoft,GlobalSpeedAccelClean,IMRClean
1394,9.612382476150538,9.612382476150538,9.612382476150538,9.612382476150538,9.612382476150538,9.612382476150538
1395,9.961853122890632,9.961853122890632,9.961853122890632,9.961853122890632,9.961853122890632,9.961853122890632
1396,10.043827719039546,10.043827719039546,10.043827719039546,10.043827719039546,10.043827719039546,10.043827719039546
1397,10.125790229887533,10.125790229887533,10.125790229887533,10.125790229887533,10.125790229887533,10.125790229887533
1398,10.114260852808657,10.114260852808657,10.114260852808657,10.114260852808657,10.114260852808657,10.114260852808657
1399,10.122913928268279,10.122913928268279,10.122913928268279,10.122913928268279,10.122913928268279,10.122913928268279
1400,10.14749543034212,10.14749543034212,10.14749543034212,10.14749543034212,10.14749543034212,10.14749543034212
1401,10.172089017716887,10.172089017716887,10.172089017716887,10.172089017716887,10.172089017716887,10.172089017716887
1402,10.263764078072594,10.10590990987206,10.263764078072594,10.263764078072594,10.263764078072594,10.263764078072594
1403,10.525503492992282,10.209795156591218,10.525503492992282,10.525503492992282,10.525503492992282,10.525503492992282
1404,10.968292801013382,10.494730296411785,10.968292801013382,10.968292801013382,10.968292801013382,10.968292801013382
1405,11.175877982504906,10.544461309702776,11.175877982504906,11.175877982504906,11.175877982504906,11.175877982504906
1406,11.383475249297344,10.594204408294683,11.383475249297344,11.383475249297344,11.383475249297344,11.383475249297344
1407,11.591060430788866,10.643935421585672,11.591060430788866,11.591060430788866,11.591060430788866,11.591060430788866
1408,11.798657697581307,10.69367852017758,11.798657697581307,11.798657697581307,11.798657697581307,11.798657697581307
1409,12.006242879072827,10.743409533468569,12.006242879072827,12.006242879072827,12.006242879072827,12.006242879072827
1410,12.213840145865268,10.793152632060476,12.135010070604283,11.33583148401655,12.213840145865268,12.213840145865268
1411,12.421425327356792,10.842883645351467,12.054977283896015,12.421425327356792,12.421425327356792,12.421425327356792
1412,12.629022594149228,10.892626743943373,12.192625154817092,11.553209578972123,12.629022594149228,12.629022594149228
1413,12.809524616276205,10.915274597869816,12.159528486879854,11.620129917281274,12.809524616276205,12.809524616276205
1414,12.972490866766432,10.92038668015951,12.189443666371876,11.709764618427407,12.972490866766432,12.972490866766432
1415,13.135445031955733,10.925486677148278,12.148986774464701,11.744836451519134,13.135445031955733,13.135445031955733
1416,13.298411282445956,10.93059875943797,12.152423371980095,11.83627131490509,13.298411282445956,13.298411282445956
1417,13.461365447635266,10.935698756426747,12.255426250230762,11.945848344788455,13.461365447635266,13.461365447635266
