,Observed,True,MTSClean,MTSCleanSoft,GlobalSpeedAccelClean,IMRClean
11034,14.37274590783619,14.37274590783619,14.37274590783619,14.336142219124659,14.37274590783619,14.37274590783619
11035,14.403512962067897,14.403512962067897,14.403512962067897,14.344342337401379,14.403512962067897,14.403512962067897
11036,14.423964705481607,14.423964705481607,14.423964705481607,14.37552325285771,14.423964705481607,14.423964705481607
11037,14.403441410778989,14.403441410778989,14.403441410778989,14.324483770756089,14.403441410778989,14.403441410778989
11038,14.418741461391104,14.418741461391104,14.418741461391104,14.362177502326363,14.418741461391104,14.418741461391104
11039,14.421985119821738,14.421985119821738,14.421985119821738,14.421995987988545,14.421985119821738,14.421985119821738
11040,14.41324393735978,14.41324393735978,14.41324393735978,14.41024139301646,14.41324393735978,14.41324393735978
11041,14.397657681592015,14.397657681592015,14.397657681592015,14.346650782743879,12.972259703817151,14.397657681592015
11042,14.406613517920706,14.406613517920706,14.406613517920706,14.389160444351742,11.237236349445496,14.406613517920706
11043,7.725487164481924,14.357934791031628,12.688113930275847,11.207472192519354,9.50221299507384,7.725487164481924
11044,7.767189640702183,14.399637267251887,12.63268898450082,11.114405558298724,7.767189640702183,7.767189640702183
11045,7.748979837674348,14.381427464224052,12.72512558020909,11.222759029357947,7.748979837674348,7.748979837674348
11046,7.736291409107482,14.368739035657185,12.699772600004822,11.089592177866344,7.736291409107482,14.368739035657185
11047,7.702948508474984,14.335396135024688,12.614368217783865,11.134308739824547,7.702948508474984,14.198814117447661
11048,7.698834309362605,14.331281935912308,12.583833606588941,11.134827202416204,7.698834309362605,13.852134265692813
11049,7.67598559777038,14.308433224320083,12.690519687521512,11.179797184740487,7.67598559777038,13.516029873193403
11050,7.6963538646803595,14.328801491230063,12.744279109049545,11.084272606870721,7.6963538646803595,13.241673399392063
11051,7.671406315280075,14.303853941829779,12.679786309040871,11.134830151646806,7.671406315280075,12.936109662995335
11052,7.622393682376083,14.254841308925787,12.673864445051551,11.15408164767536,7.622393682376083,12.620058250446593
11053,7.5854016660091315,14.217849292558835,12.699680070879989,11.15738736956128,7.5854016660091315,12.329067862559443
11054,7.576994389562097,14.209442016111801,12.676547789671712,11.136541809578375,7.576994389562097,12.079125807535135
