,Observed,True,MTSClean,MTSCleanSoft,GlobalSpeedAccelClean,MedianFilterClean,IMRClean
12198,9.174771347538204,9.174771347538204,9.174771347538204,9.174771347538204,9.174771347538204,9.174771347538204,9.174771347538204
12199,8.986042897820791,8.986042897820791,8.986042897820791,8.986042897820791,8.986042897820791,8.986042897820791,8.986042897820791
12200,8.781954771417162,8.781954771417162,8.781954771417162,8.781954771417162,8.781954771417162,8.781954771417162,8.781954771417162
12201,8.649322532205929,8.649322532205929,8.649322532205929,8.649322532205929,8.649322532205929,8.649322532205929,8.649322532205929
12202,8.488737589460145,8.488737589460145,8.488737589460145,8.488737589460145,10.044520130663322,8.649322532205929,8.488737589460145
12203,8.229232989794996,8.229232989794996,8.229232989794996,8.229232989794996,12.037390479840365,8.649322532205929,8.229232989794996
12204,17.756771207647162,8.118865126649881,10.222103338972039,14.36850671881387,14.030260829017408,17.57222850833104,17.756771207647162
12205,17.589031136010288,7.951125055013005,10.585616673390419,13.329402022586399,16.02313117819445,17.57222850833104,17.589031136010288
12206,17.57222850833104,7.9343224273337585,10.65926698468125,14.20983355835661,17.57222850833104,17.57222850833104,17.57222850833104
12207,17.459439826577768,7.821533745580484,10.76252818721287,14.18445430027338,17.459439826577768,17.57222850833104,17.459439826577768
12208,17.54599303573036,7.908086954733075,10.834106875949756,14.295648574457616,17.54599303573036,17.57222850833104,17.54599303573036
12209,17.67999667464573,8.042090593648448,10.843109619617733,14.343497590459053,17.67999667464573,17.67999667464573,17.67999667464573
12210,17.923235281298457,8.285329200301174,10.963127881502906,12.773456107614718,17.923235281298457,17.923235281298457,11.599701559795239
12211,18.162001932394254,8.524095851396972,10.921428849009867,12.397081484062829,18.162001932394254,18.162001932394254,8.662067776095032
12212,18.455648422084735,8.817742341087454,11.074626088415041,14.872039073271726,18.455648422084735,18.455648422084735,11.049450479505976
12213,18.764678438891067,9.126772357893783,11.08907487637293,15.015946401071327,18.764678438891067,18.764678438891067,18.764678438891067
12214,18.996278035880948,9.358371954883665,11.2365747155979,15.215100151299888,18.996278035880948,18.996278035880948,18.996278035880948
12215,19.168776268230403,9.530870187233122,11.393039581577014,15.389490988249403,19.168776268230403,19.168776268230403,19.168776268230403
12216,19.384491479082058,9.746585398084774,11.50726498636864,15.564917659139693,19.384491479082058,19.384491479082058,10.041557633613959
12217,19.585622152210703,9.947716071213419,11.581187936983877,13.329532638343096,19.585622152210703,19.585622152210703,10.452543874558424
12218,19.70742629636675,10.069520215369469,11.979184944947946,15.917442661815038,19.70742629636675,19.70742629636675,10.871697418654419
12219,19.841918869089675,10.204012788092394,12.031914416548954,18.751518366064715,19.841918869089675,19.841918869089675,11.254905722408331
12220,19.928913311190556,10.291007230193273,12.301636135161692,16.22708111914415,19.928913311190556,19.928913311190556,11.620460980637736
